p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
0.75,1.0,0.70358093135547,0.917270973480484,0.822612712429687,0.944847315653656,0.75,1.0
0.65716186271094,0.834541946960968,0.70358093135547,0.917270973480484,0.604774575140626,0.889694631307312,0.65716186271094,0.834541946960968
0.895225424859374,-0.889694631307312,0.79016906864453,-0.921811864280517,1.0,-1.0,0.895225424859374,-0.889694631307312
1.0,-1.0,0.79016906864453,-0.921811864280517,0.75,-1.0,1.0,-1.0
0.75,-1.0,0.79016906864453,-0.921811864280517,0.677387287570313,-0.944847315653656,0.75,-1.0
0.83033813728906,-0.843623728561035,0.79016906864453,-0.921811864280517,0.895225424859374,-0.889694631307312,0.83033813728906,-0.843623728561035
-0.895225424859374,-0.889694631307312,-0.79016906864453,-0.921811864280517,-1.0,-1.0,-0.895225424859374,-0.889694631307312
-1.0,-1.0,-0.79016906864453,-0.921811864280517,-0.75,-1.0,-1.0,-1.0
-0.75,-1.0,-0.79016906864453,-0.921811864280517,-0.677387287570313,-0.944847315653656,-0.75,-1.0
-0.83033813728906,-0.843623728561035,-0.79016906864453,-0.921811864280517,-0.895225424859374,-0.889694631307312,-0.83033813728906,-0.843623728561035
-0.765450849718747,0.797552825814758,-0.75,0.843623728561035,-0.83033813728906,0.843623728561035,-0.765450849718747,0.797552825814758
-0.83033813728906,0.843623728561035,-0.75,0.843623728561035,-0.75,1.0,-0.83033813728906,0.843623728561035
-0.75,1.0,-0.75,0.843623728561035,-0.677387287570313,0.944847315653656,-0.75,1.0
-0.677387287570313,0.944847315653656,-0.75,0.843623728561035,-0.66966186271094,0.843623728561035,-0.677387287570313,0.944847315653656
-0.66966186271094,0.843623728561035,-0.75,0.843623728561035,-0.734549150281253,0.797552825814758,-0.66966186271094,0.843623728561035
-0.734549150281253,0.797552825814758,-0.75,0.843623728561035,-0.765450849718747,0.797552825814758,-0.734549150281253,0.797552825814758
0.765450849718747,0.797552825814758,0.84283813728906,0.834541946960968,0.790450849718747,0.779389262614624,0.765450849718747,0.797552825814758
0.947612712429687,0.819847315653656,0.84283813728906,0.834541946960968,0.895225424859374,0.889694631307312,0.947612712429687,0.819847315653656
0.895225424859374,0.889694631307312,0.84283813728906,0.834541946960968,0.822612712429687,0.944847315653656,0.895225424859374,0.889694631307312
-0.731477965677735,-0.544246752206085,-0.807101695268554,-0.572735169649353,-0.816362712429687,-0.475611793546311,-0.731477965677735,-0.544246752206085
-0.816362712429687,-0.475611793546311,-0.807101695268554,-0.572735169649353,-0.882725424859374,-0.601223587092621,-0.816362712429687,-0.475611793546311
0.765450849718747,-0.702447174185242,0.83658813728906,-0.660917162238999,0.790450849718747,-0.720610737385376,0.765450849718747,-0.702447174185242
0.941362712429687,-0.675611793546311,0.83658813728906,-0.660917162238999,0.882725424859374,-0.601223587092621,0.941362712429687,-0.675611793546311
0.790906781074217,0.589029483865776,0.83658813728906,0.660917162238999,0.882725424859374,0.601223587092621,0.790906781074217,0.589029483865776
0.882725424859374,0.601223587092621,0.83658813728906,0.660917162238999,0.941362712429687,0.675611793546311,0.882725424859374,0.601223587092621
0.790450849718747,0.720610737385376,0.83658813728906,0.660917162238999,0.765450849718747,0.702447174185242,0.790450849718747,0.720610737385376
-0.790450849718747,0.720610737385376,-0.82408813728906,0.651835380638932,-0.765450849718747,0.702447174185242,-0.790450849718747,0.720610737385376
-0.790450849718747,-0.720610737385376,-0.82408813728906,-0.651835380638932,-0.765450849718747,-0.702447174185242,-0.790450849718747,-0.720610737385376
-0.807101695268554,-0.572735169649353,-0.82408813728906,-0.651835380638932,-0.882725424859374,-0.601223587092621,-0.807101695268554,-0.572735169649353
0.552615253248048,0.721517197606102,0.599604236086916,0.667199454235981,0.417274575140626,0.660305368692688,0.552615253248048,0.721517197606102
0.417274575140626,0.660305368692688,0.599604236086916,0.667199454235981,0.583637287570313,0.505152684346344,0.417274575140626,0.660305368692688
0.583637287570313,0.505152684346344,0.599604236086916,0.667199454235981,0.646593218925783,0.61288171086586,0.583637287570313,0.505152684346344
-0.552615253248048,-0.721517197606102,-0.599604236086916,-0.667199454235981,-0.417274575140626,-0.660305368692688,-0.552615253248048,-0.721517197606102
-0.417274575140626,-0.660305368692688,-0.599604236086916,-0.667199454235981,-0.583637287570313,-0.505152684346344,-0.417274575140626,-0.660305368692688
-0.583637287570313,-0.505152684346344,-0.599604236086916,-0.667199454235981,-0.646593218925783,-0.61288171086586,-0.583637287570313,-0.505152684346344
